id,group_id,title,author,created_at
554729,4347861,Q3: Resident Contributors Dashboard,ken_aguilar,2022-06-28T01:38:48.462Z
554517,4347861,Bring Ad Spend Data In House,degan,2022-06-27T19:47:12.915Z
553821,4347861,Marketing Ops: Person State Monitoring Dashboard,ken_aguilar,2022-06-27T02:06:43.733Z
552938,4347861,TAM Customer Metrics,ttnguyen28,2022-06-23T17:23:39.380Z
551043,4347861,IQ Dashboard Suite,rparker2,2022-06-22T13:26:57.529Z
546407,4347861,Data Collaboration Handbook Update,ttnguyen28,2022-06-14T20:11:03.672Z
537062,4347861,Create New Snippets with Common Models,nicolegalang,2022-06-01T22:20:31.237Z
522134,4347861,Data KR 4.5: Data Collaboration Hub Launched with handbook updated and 100% of Data Program Teams contributing 1 MR,mlaanen,2022-05-13T23:19:01.860Z
522132,4347861,"Data KR 3.5: Rollout Data Visualization Improvements to two departments, with MAU > 25 by end of quarter",mlaanen,2022-05-13T23:18:51.374Z
522131,4347861,"Data KR 1.6: Increase Data MAU to 1,000",mlaanen,2022-05-13T23:18:41.694Z
522130,4347861,Data KR 1.5: Account Insights Dashboard to showcase Customer Journey TD Models and Sisense Best-Practices,mlaanen,2022-05-13T23:18:31.269Z
522127,4347861,PQL Analysis Continuation,dpeterson1,2022-05-13T22:45:29.357Z
517989,4347861,Data Newsletter and Awareness Campaign,rparker2,2022-05-09T15:50:11.913Z
517252,4347861,Data Platform work breakdown FY23-Q2,dvanrooijen2,2022-05-09T07:40:35.016Z
515634,4347861,Product Data Insights FY23-Q2 KR 1.1: Rollout TD xMAU models,cbraza,2022-05-05T17:48:34.645Z
511856,4347861,Promote new Product Usage Models from Legacy workspace schema to their respective schemas in Common,snalamaru,2022-05-02T16:28:43.258Z
509829,4347861,Product Analysis FY23-Q2 KR 1.3: Documentation and Enablement,eneuberger,2022-04-28T17:07:02.388Z
506511,4347861,"""Tracer Bullet"" Data Project - Lis Vinueza",michellecooper,2022-04-25T18:51:09.813Z
488211,4347861,Definitive Data Guide Series,rparker2,2022-04-01T14:12:00.120Z
474157,4347861,Deprecate SFDC Rosetta Field Stones,michellecooper,2022-03-17T20:56:09.761Z
